,M̴ndag,Tisdag,Onsdag,Torsdag,Fredag
11.00,Na20,,Ek20,,
11.05,,2D_TE,,,"Na20, 3E_EE"
11.10,,,"2A_SA, 2B_ES, 2F_TE",3D_TE,Ek20
11.15,"2C_NA, 2C_TE",,,"1F_TE, 3F_TE",
11.20,1G_TE,,1G_TE,1C_NA,1D_TE
11.25,,"1G_TE, 3E_EE",,"1E_EE, 2C_NA, 2C_TE",3C_NA
11.30,"3B_ES, 3E_EE","1C_NA, 3A_SA",3A_SA,Ek20,"1A_SA, 1B_ES"
11.35,2E_EE,"1E_EE, 2C_NA, 2E_EE",,"Na20, Sa20, 2A_SA, 3C_NA","2F_TE, 3D_TE"
11.40,2F_TE,"2C_TE, 3B_ES","1A_SA, 1B_ES, 2D_TE, 3C_NA",3E_EE,"2A_SA, 2B_ES"
11.45,2D_TE,2A_SA,1F_TE,"1G_TE, 2B_ES, 2D_TE",
11.50,"1A_SA, 1B_ES, 3F_TE","1F_TE, 2B_ES","1C_NA, 1D_TE",,"1F_TE, 2C_NA, 2C_TE"
11.55,"3C_NA, 3D_TE",,3B_ES,1A_SA,2D_TE
12.00,"Sa20, 1D_TE","Na20, 1D_TE",,"2E_EE, 3B_ES",3F_TE
12.05,,3D_TE,,,"1G_TE, 2E_EE"
12.10,TE4,TE4,TE4,3A_SA,3A_SA
12.15,1F_TE,"3C_NA, 3F_TE",,1D_TE,3B_ES
12.20,Ek20,"Ek20, Sa20","Na20, Sa20",1B_ES,"Sa20, 1C_NA"
12.25,1C_NA,,2C_TE,,
12.30,,,"2C_NA, 2E_EE",2F_TE,1E_EE
12.35,3A_SA,,,,
12.40,"1E_EE, 2A_SA, 2B_ES","1A_SA, 1B_ES, 2F_TE","3D_TE, 3F_TE",TE4,TE4
12.45,,,3E_EE,,
12.50,,,1E_EE,,
12.55,,,,,
13.00,,,,,